Row,ID #,Species,Bird Height,Foraging Location,Mixed Location,Combined Location,Foraging Behavior,Substrate type,Canopy height,% Height in Canopy
169,93,PRAW,0.3,F,F,F,F,B,10,0.03
170,93,PRAW,0.3,F,F,F,F,B,10,0.03
156,90,PRAW,0.5,OF,OF,F,G,B,10,0.05
172,93,PRAW,0.1,F,F,F,S,B,10,0.01
315,156,PAWA,0.2,F,F,F,G,D,10,0.02
609,266,AMRE,3,F,F,F,S,D,10,0.30
605,265,NOPA,8,F,F,F,G,S,10,0.80
608,265,NOPA,8,OF,OF,F,G,S,10,0.80
607,265,NOPA,8,UF,UF,F,G,S,10,0.80
612,266,AMRE,3,F,F,F,F,T,10,0.30
613,266,AMRE,4,F,F,F,F,T,10,0.40
283,143,PRAW,3,OF,OF,F,F,T,10,0.30
407,184,CMWA,3.5,F,F,F,G,T,10,0.35
91,54,CMWA,8,F,F,F,G,T,10,0.80
93,54,CMWA,9,F,F,F,G,T,10,0.90
173,94,AMRE,2,OF,OF,F,G,T,10,0.20
263,136,BWVI,5,OF,OF,F,G,T,10,0.50
601,262,BWVI,8,OF,OF,F,G,T,10,0.80
309,154,CMWA,9,OF,OF,F,G,T,10,0.90
312,154,CMWA,9,OF,OF,F,G,T,10,0.90
520,226,CMWA,9,UF,UF,F,G,T,10,0.90
254,130,BBTO,7,OF,OF,F,S,T,10,0.70
249,128,YRWA,5,OF,OF,F,G,,10,0.50
159,91,YRWA,0,OF,OF,F,G,GC,11,0.00
76,49,YRWA,5,F,F,F,F,T,11,0.45
167,92,PRAW,5,F,F,F,F,T,11,0.45
162,92,PRAW,6,F,F,F,F,T,11,0.55
423,190,CMWA,6,F,F,F,F,T,11,0.55
270,138,YRWA,5,OF,OF,F,F,T,11,0.45
110,66,AMRE,4,F,F,F,G,T,11,0.36
211,107,YRWA,5,OF,OF,F,G,T,11,0.45
212,108,PRAW,5,OF,OF,F,G,T,11,0.45
214,108,PRAW,5,OF,OF,F,G,T,11,0.45
165,92,PRAW,6,OF,OF,F,G,T,11,0.55
421,190,CMWA,6,OF,OF,F,G,T,11,0.55
113,67,CMWA,9,OF,OF,F,G,T,11,0.82
73,46,PRAW,11,OF,OF,F,G,T,11,1.00
422,190,CMWA,6,UF,UF,F,G,T,11,0.55
215,108,PRAW,5,OF,OF,F,H,T,11,0.45
58,39,BBTO,2,F,F,F,F,B,12,0.17
539,237,YRWA,0.3,F,F,F,G,B,12,0.03
614,267,PRAW,1.5,F,F,F,G,D,12,0.13
615,267,PRAW,1.5,F,F,F,G,D,12,0.13
616,267,PRAW,1.5,F,F,F,G,D,12,0.13
617,267,PRAW,1.5,F,F,F,G,D,12,0.13
618,267,PRAW,1.5,F,F,F,G,D,12,0.13
117,70,NOPA,4,F,F,F,G,D,12,0.33
118,70,NOPA,4,F,F,F,G,D,12,0.33
119,70,NOPA,4,F,F,F,H,D,12,0.33
303,151,YRWA,3,OF,OF,F,F,G,12,0.25
538,236,YRWA,5,F,F,F,G,G,12,0.42
305,152,YRWA,0,OF,OF,F,G,G,12,0.00
68,42,YRWA,8,F,F,F,F,T,12,0.67
392,179,YRWA,10,F,F,F,F,T,12,0.83
492,215,BBTO,5,OF,OF,F,F,T,12,0.42
293,149,CMWA,7,OF,OF,F,F,T,12,0.58
115,68,BAWW,1,F,F,F,G,T,12,0.08
544,240,CMWA,5,F,F,F,G,T,12,0.42
540,238,CMWA,6,F,F,F,G,T,12,0.50
496,216,BAWW,5,OF,OF,F,G,T,12,0.42
559,247,CMWA,6,OF,OF,F,G,T,12,0.50
202,102,YRWA,7,OF,OF,F,G,T,12,0.58
363,172,YRWA,4,UF,UF,F,G,T,12,0.33
203,102,YRWA,6,UF,UF,F,G,T,12,0.50
52,36,NOPA,9,UF,UF,F,G,T,12,0.75
50,36,NOPA,7,F,F,F,S,T,12,0.58
398,181,YRWA,0.2,F,F,F,F,B,13,0.02
410,186,CMWA,1.5,F,F,F,F,B,13,0.12
409,186,CMWA,1.5,OF,OF,F,G,B,13,0.12
397,181,YRWA,0.1,F,F,F,H,B,13,0.01
79,51,CMWA,13,OF,OF,F,G,T,13,1.00
83,51,CMWA,11,UF,UF,F,G,T,13,0.85
69,43,YRWA,10,F,F,F,S,T,13,0.77
230,118,YRWA,1.5,F,F,F,F,T,14,0.11
131,72,NOPA,4,OF,OF,F,F,T,14,0.29
67,41,NOPA,6,OF,OF,F,G,T,14,0.43
176,95,CMWA,7,OF,OF,F,G,T,14,0.50
178,96,CMWA,7,OF,OF,F,G,T,14,0.50
48,35,PRAW,8,UF,UF,F,G,T,14,0.57
64,40,NOPA,4,F,F,F,S,T,14,0.29
431,191,CMWA,12,F,F,F,S,T,14,0.86
180,97,CMWA,10,F,F,F,G,T,15,0.67
185,97,CMWA,10,F,F,F,G,T,15,0.67
566,250,CMWA,8,OF,OF,F,G,T,15,0.53
371,175,CMWA,6,F,F,F,G,T,16,0.38
42,31,NOPA,7,OF,OF,F,H,T,16,0.44
379,176,CMWA,10,F,F,F,P,T,16,0.63
84,52,BBTO,4,F,F,F,F,S,25,0.16
85,52,BBTO,4,F,F,F,F,S,25,0.16
125,72,CMWA,1.5,OF,OF,F,G,S,,
126,72,CMWA,1.5,OF,OF,F,G,S,,
127,72,CMWA,1.5,OF,OF,F,G,S,,
28,23,NOPA,4,F,F,F,F,T,,
32,26,CMWA,5,UF,UF,F,G,T,,
8,8,YRWA,0.2,F,F,F,G,,,
10,10,YRWA,0.2,OF,OF,F,G,,,
153,89,YRWA,0.5,OF,OF,F,G,,,
21,18,YRWA,3,OF,OF,F,G,,,
15,14,AMRE,4,OF,OF,F,G,,,
20,17,NOPA,7,OF,OF,F,G,,,
25,21,CMWA,7,OF,OF,F,G,,,
18,16,NOPA,1.5,UF,UF,F,G,,,
30,25,NOPA,11,F,F,F,H,,,
334,160,PAWA,0,G,G,G,K,L,1,0.00
335,160,PAWA,0,G,G,G,K,L,1,0.00
336,160,PAWA,0,G,G,G,K,L,1,0.00
337,160,PAWA,0,G,G,G,K,L,1,
141,80,YRWA,0,G,G,G,K,G,3,0.00
325,158,PAWA,0,G,G,G,F,G,5,0.00
324,158,PAWA,0,G,G,G,K,G,5,0.00
328,158,PAWA,0.1,G,G,G,H,GC,5,0.02
532,230,YRWA,0,G,G,G,K,G,6,0.00
533,231,YRWA,0,G,G,G,K,G,6,0.00
534,232,YRWA,0,G,G,G,K,G,6,0.00
535,233,YRWA,0,G,G,G,K,G,6,0.00
536,234,YRWA,0,G,G,G,K,G,6,0.00
537,235,YRWA,0,G,G,G,K,G,6,0.00
645,277,OVEN,0,G,G,G,K,LL,8,0.00
290,146,PAWA,0,G,G,G,K,G,9,0.00
348,167,YRWA,0,G,G,G,K,G,9,0.00
349,167,YRWA,0,G,G,G,K,G,9,0.00
350,167,YRWA,0,G,G,G,K,G,9,0.00
351,167,YRWA,0,G,G,G,K,G,9,0.00
352,167,YRWA,0,G,G,G,K,G,9,0.00
366,174,PAWA,0,G,G,G,K,G,9,0.00
367,174,PAWA,0,G,G,G,K,G,9,0.00
368,174,PAWA,0,G,G,G,K,G,9,0.00
477,206,YRWA,0,G,G,G,K,V,9,0.00
478,207,YRWA,0,G,G,G,K,V,9,0.00
